cell,longitude,latitude,richness,phylo.dist,phylo.SC,phylo.SV,morpho.MNND,morpho.volume,morpho.SD.MSTD,funct.rich,funct.even,funct.div
7021,-63.8,-4.8,53,781.4,0.800362696,0.538909715,0.869151973,82073.74135,0.885327466,6,0.462264151,1.26637401
7022,-62.8,-4.8,53,781.4,0.800362696,0.538909715,0.869151973,82073.74135,0.885327466,6,0.462264151,1.26637401
7023,-61.8,-4.8,52,775.6,0.797978606,0.53856641,0.886381283,82073.74135,0.888330824,6,0.455128205,1.25053536
7024,-60.8,-4.8,52,775.6,0.797978606,0.53856641,0.886381283,82073.74135,0.888330824,6,0.455128205,1.25053536
7025,-59.8,-4.8,51,752.8,0.80315971,0.537365572,0.887951085,82073.74135,0.922391514,6,0.454248366,1.25388897
7026,-58.8,-4.8,50,748.1,0.800899796,0.540897291,0.90484305,82073.74135,0.929450927,6,0.46,1.26366611
7027,-57.8,-4.8,49,744.1,0.794666333,0.544014231,0.901170435,82073.74135,0.9392215,6,0.465986395,1.27336291
7028,-56.8,-4.8,50,786.6,0.781390593,0.557232169,0.912379353,82073.74135,0.931641255,6,0.486666667,1.31820888
7029,-55.8,-4.8,50,786.6,0.781390593,0.557232169,0.912379353,82073.74135,0.931641255,6,0.486666667,1.31820888
7030,-54.8,-4.8,49,774.9,0.781812111,0.556694559,0.917708316,82073.74135,0.939952396,6,0.486394558,1.32268766
7031,-53.8,-4.8,50,786.9,0.786462168,0.557671216,0.925533826,82073.74135,0.930993729,6,0.486666667,1.31820888
7032,-52.8,-4.8,49,789.5,0.775677142,0.561014078,0.928200432,82073.74135,0.908621097,6,0.493197279,1.32809084
7033,-51.8,-4.8,50,794.7,0.786462168,0.561145194,0.904542098,82746.47693,0.899937911,6,0.486666667,1.2980412
7034,-50.8,-4.8,50,794.7,0.786462168,0.561145194,0.904542098,82746.47693,0.899937911,6,0.486666667,1.2980412
7035,-49.8,-4.8,50,794.7,0.786462168,0.561145194,0.904542098,82746.47693,0.899937911,6,0.486666667,1.2980412
7036,-48.8,-4.8,48,757.3,0.789195637,0.559747059,0.924448094,82746.47693,0.939616378,6,0.486111111,1.31038067
7037,-47.8,-4.8,49,765.5,0.790117274,0.55607202,0.917728581,82746.47693,0.930473175,6,0.479591837,1.30024195
7038,-46.8,-4.8,47,737,0.792846887,0.559063504,0.941816111,82746.47693,0.941508594,6,0.478723404,1.28807602
7039,-45.8,-4.8,41,659,0.790513243,0.569956108,0.966625975,67632.31545,1.004688246,6,0.5,1.30882885
7040,-44.8,-4.8,39,643.6,0.77882649,0.573850073,0.987682908,65377.90494,1.024471673,6,0.5,1.28197903
7041,-43.8,-4.8,36,602.8,0.779652352,0.581695719,1.026037987,62439.57213,1.052340206,6,0.472222222,1.24794086
7042,-42.8,-4.8,36,602.8,0.779652352,0.581695719,1.026037987,62439.57213,1.052340206,6,0.472222222,1.24794086
7043,-41.8,-4.8,38,620.7,0.782692929,0.575218098,1.017028277,62439.57213,1.024663789,6,0.464912281,1.22816593
